Fri,Mon,Sat,Thu,Tue,Wed,building,call,name,number,room
,,,,,,,11547,INDEPENDENT STUDY Section X02,Occupational Therapy M8998,
,,,,,,,93452,OPHTHALMOLOGY CLERKSHIP Section 001,Ophthalmology (OPHT) M7201,
,,,,,,,65997,OPHTHALMOLOGY CLERKSHIP Section 002,Ophthalmology (OPHT) M7201,
,,,,,,,66498,OPHTHALMOLOGY CLERKSHIP Section 003,Ophthalmology (OPHT) M7201,
,,,,,,,67246,OPHTHALMOLOGY CLERKSHIP Section 004,Ophthalmology (OPHT) M7201,
,,,5:00pm-8:00pm,,,Knox Hall,80040,ORAL HISTORY WORKSHOP Section 001,Oral History (MA) GR5011,509
,,,,10:10am-1:00pm,,Lewisohn Hall,21199,ORAL HISTORY THESIS Section 001,Oral History (MA) GR5012,308
,,,,,10:10am-1:00pm,Lewisohn Hall,25287,ORAL HISTORY FIELDWORK Section 001,Oral History (MA) GR5021,308
,,,,2:10pm-3:00pm,,be announced,61256,ORAL HISTORY INTERNSHIP Section 001,Oral History (MA) GR5076,To
,,,,,,,87997,INDEPENDENT STUDY Section 001,Oral History (MA) GR5999,
,,,,,,,28148,INDEPENDENT STUDY Section 002,Oral History (MA) GR5999,
,,,,3:10pm-5:00pm,,Lewisohn Hall,77602,FR ORAL HIST TO LIT NARRATIVE Section 001,Oral History (MA) GR8040,308
,,,,,,,25553,ORTHOPAEDIC SURGERY CLERKSHIP Section 001,Orthopedic Surgery (ORTS) M7201,
,,,,,,,81406,ORTHOPAEDIC SURGERY SELECTIVE Section 001,Orthopedic Surgery (ORTS) M7210,
,,,,,,,87203,OTOLARYNGOLOGY CLERKSHIP Section 001,Otolaryngology (OTOL) M7201,
,,,,,,,60967,OTOLARYNGOLOGY CLERKSHIP Section 002,Otolaryngology (OTOL) M7201,
,,,,,,,61902,OTOLARYNGOLOGY CLERKSHIP Section 003,Otolaryngology (OTOL) M7201,
,,,,,,,62798,OTOLARYNGOLOGY CLERKSHIP Section 004,Otolaryngology (OTOL) M7201,
,,,,,,,72754,CLINICAL PATHOLOGY Section 001,Pathology (PA) N07P_,
,,,,,,,97706,CLINICAL PATHOLOGY Section 002,Pathology (PA) N07P_,
,,,,,,,98000,CLINICAL PATHOLOGY Section 003,Pathology (PA) N07P_,
,,,,,,,98352,CLINICAL PATHOLOGY Section 004,Pathology (PA) N07P_,
,,,,,,,98746,CLINICAL PATHOLOGY Section 005,Pathology (PA) N07P_,
,,,,,,,76534,CLINICAL PATHOLOGY Section 006,Pathology (PA) N07P_,
,,,,,,,78289,CLINICAL PATHOLOGY Section 007,Pathology (PA) N07P_,
,,,,,,,29413,CLINICAL PATHOLOGY Section 008,Pathology (PA) N07P_,
,,,,,,,81286,CLINICAL PATHOLOGY Section 009,Pathology (PA) N07P_,
,,,,,,,83035,CLINICAL PATHOLOGY Section 010,Pathology (PA) N07P_,
,,,,,,,85035,CLINICAL PATHOLOGY Section 011,Pathology (PA) N07P_,
,,,,,,,86289,CLINICAL PATHOLOGY Section 012,Pathology (PA) N07P_,
,10:00am-12:00pm,,,,,WEST Presbyterian Hospital,85796,CELLULAR TISSUE & ARCHITECTURE Section 001,Pathology (PATH) G4001,15
10:00am-12:00pm,,,,,10:00am-12:00pm,WEST Presbyterian Hospital,23467,MECHANISMS IN HUM DISEASE II Section 001,Pathology (PATH) G6004,15
,,,1:30pm-3:00pm,,,Vagelos Educ,93664,STEM CELLS & LINEAGE SPECIFIC Section 001,Pathology (PATH) G6100,1201A
,,,,,,,12542,CLINICAL PATHOLOGY SELECTIVE Section 001,Pathology (PATH) M7210,
,,,,12:15pm-1:45pm,,WEST Presbyterian Hospital,78034,SEMINAR IN PATHOLOGY II Section 001,Pathology (PATH) G9002,15
,,,,,,,94283,RESEARCH IN PATHOLOGY II Section 001,Pathology (PATH) G9052,
,,,,,,,88598,ADVANCED PATHOLOGY II Section 001,Pathology (PATH) G9058,
,,,,,,,13343,PEDIATRICS CLERKSHIP Section 001,Pediatrics (Medical) M7201,
,,,,,,,14538,PEDIATRICS CLERKSHIP Section 002,Pediatrics (Medical) M7201,
,,,,,,,11447,PEDIATRICS CLERKSHIP Section 003,Pediatrics (Medical) M7201,
,,,,,,,11997,PEDIATRICS CLERKSHIP Section 004,Pediatrics (Medical) M7201,
,10:00am-12:00pm,,,,10:00am-12:00pm,Black Building (Health Sciences),76750,STRUCTRE-FUNCTN-MEMBRNE CHANNL Section 001,Pharmacology (PHAR) G4600,7-724
,,,2:00pm-4:00pm,,,be announced,63443,ADVANCES IN PHARMACOLOGY II Section 001,Pharmacology (PHAR) G8008,To
,,,,,,,25504,PHARMACOLOGY TECHNIQUES II Section 001,Pharmacology (PHAR) G8010,
,,,,2:00pm-4:00pm,,Vagelos Educ,71996,STATISTICS FOR BASIC SCIENCES Section 001,Pharmacology (PHAR) G8012,1402
,,,,,,,62497,RESEARCH IN PHARMACOLOGY Section 001,Pharmacology (PHAR) G9051,
,,,10:00am-12:00pm,10:00am-12:00pm,,be announced,16497,MOL PHARM: FR MEMBRANE-NUCLEUS Section 001,Pharmacology (PHAR) G9600,To
,11:40am-12:55pm,,,,11:40am-12:55pm,Diana Center,9632,INTRODUCTION TO PHILOSOPHY Section 001,Philosophy BC1001,504
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Diana Center,3579,INTRODUCTION TO PHILOSOPHY Section 002,Philosophy BC1001,LL103
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Hamilton Hall,76526,METHDS/PROB OF PHILOS THOUGHT Section 001,Philosophy UN1010,517
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Seeley W. Mudd Building,1435,INTRODUCTION TO LOGIC Section 001,Philosophy UN1401,833
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Milbank Hall (Barnard),8991,PHILOSOPHY OF EDUCATION Section 001,Philosophy UN2100,324
,,,10:10am-11:25am,10:10am-11:25am,,Thompson Hall (TC),4794,HISTORY OF PHILOSOPHY II Section 001,Philosophy UN2201,136
,9:10am-10:00am,,,,,Milbank Hall (Barnard),73905,HIST OF PHILOSOPHY II-REC Section 001,Philosophy UN2211,306
,,,,,6:10pm-7:00pm,Milbank Hall (Barnard),76604,HIST OF PHILOSOPHY II-REC Section 002,Philosophy UN2211,306
,6:10pm-7:00pm,,,,,Diana Center,7662,HIST OF PHILOSOPHY II-REC Section 003,Philosophy UN2211,501
1:10pm-2:00pm,,,,,,Philosophy Hall,3961,HIST OF PHILOSOPHY II-REC Section 004,Philosophy UN2211,716
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Fayerweather,93349,DARWIN Section 001,Philosophy UN3248,301M
,11:40am-12:55pm,,,,11:40am-12:55pm,Hamilton Hall,16986,KANT Section 001,Philosophy UN3251,702
,10:10am-11:25am,,,,10:10am-11:25am,Diana Center,4153,20TH CENT EUROPEAN PHILOSOPHY Section 001,Philosophy UN3352,504
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Schermerhorn Hall [SCH],83450,SYMBOLIC LOGIC Section 001,Philosophy UN3411,614
,,,,9:10am-10:00am,,Philosophy Hall,69666,SYMBOLIC LOGIC - REC Section 001,Philosophy UN3413,716
,,,10:10am-11:00am,,,Philosophy Hall,27161,SYMBOLIC LOGIC - REC Section 002,Philosophy UN3413,716
12:10pm-1:00pm,,,,,,Philosophy Hall,65494,SYMBOLIC LOGIC - REC Section 003,Philosophy UN3413,716
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Diana Center,10344,PHILOSOPHY OF SCIENCE Section 001,Philosophy UN3551,LL103
,,,6:10pm-7:25pm,6:10pm-7:25pm,,Mathematics Building,65774,PHILOSOPHY OF LANGUAGE Section 001,Philosophy UN3685,520
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Hamilton Hall,63361,ETHICS Section 001,Philosophy UN3701,702
,10:10am-11:00am,,,,,Philosophy Hall,64515,ETHICS - REC Section 001,Philosophy UN3711,716
,,,6:10pm-7:00pm,,,Philosophy Hall,13737,ETHICS - REC Section 002,Philosophy UN3711,716
,,,12:10pm-2:00pm,,,Philosophy Hall,23464,"PHILOSOPHY, JUSTICE AND SOCIAL ACTIVISM Section 001",Philosophy UN3800,716
,,,,,12:10pm-2:00pm,Hamilton Hall,21987,THE POTNTL & ACTUAL INFINITE Section 001,Philosophy UN3855,411
,4:10pm-6:00pm,,,,,Philosophy Hall,13552,SEMINAR Section 002,Philosophy UN3912,716
,,,,,4:10pm-6:00pm,Hamilton Hall,63838,SEMINAR Section 010,Philosophy UN3912,509
,8:40am-9:55am,,,,8:40am-9:55am,Diana Center,23976,EPISTEMOLOGY Section 001,Philosophy UN3960,LL104
,,,,6:10pm-7:00pm,,Philosophy Hall,13639,EPISTEMOLOGY - REC Section 001,Philosophy UN3963,716
11:10am-12:00pm,,,,,,Philosophy Hall,71004,EPISTEMOLOGY - REC Section 002,Philosophy UN3963,716
,,,,,,,71905,SUPERVISED INDIVIDUAL RESEARCH Section 001,Philosophy UN3997,
,,,,,,,10143,SUPERVISED INDIVIDUAL RESEARCH Section 002,Philosophy UN3997,
,,,,,,,1465,SUPERVISED INDIVIDUAL RESEARCH Section 003,Philosophy UN3997,
,,,,,,,27488,SUPERVISED INDIVIDUAL RESEARCH Section 004,Philosophy UN3997,
,,,,,,,14463,SUPERVISED INDIVIDUAL RESEARCH Section 005,Philosophy UN3997,
,,,,,,,27288,SUPERVISED INDIVIDUAL RESEARCH Section 006,Philosophy UN3997,
,,,,,,,61613,SUPERVISED INDIVIDUAL RESEARCH Section 007,Philosophy UN3997,
,,,,,,,24861,SUPERVISED INDIVIDUAL RESEARCH Section 008,Philosophy UN3997,
,,,,,,,69052,SUPERVISED INDIVIDUAL RESEARCH Section 009,Philosophy UN3997,
,,,,,,,65719,SUPERVISED INDIVIDUAL RESEARCH Section 010,Philosophy UN3997,
,,,,,,,21725,SUPERVISED INDIVIDUAL RESEARCH Section 011,Philosophy UN3997,
,,,,,,,63551,SUPERVISED INDIVIDUAL RESEARCH Section 012,Philosophy UN3997,
,,,,,,,2998,SUPERVISED INDIVIDUAL RESEARCH Section 013,Philosophy UN3997,
,,,,,,,2668,SUPERVISED INDIVIDUAL RESEARCH Section 014,Philosophy UN3997,
,,,,,,,68292,SUPERVISED INDIVIDUAL RESEARCH Section 015,Philosophy UN3997,
,,,,,,,63278,SUPERVISED INDIVIDUAL RESEARCH Section 016,Philosophy UN3997,
,,,,,,,72381,SUPERVISED INDIVIDUAL RESEARCH Section 017,Philosophy UN3997,
,,,,,,,8563,SUPERVISED INDIVIDUAL RESEARCH Section 018,Philosophy UN3997,
,,,,,,,9374,SUPERVISED INDIVIDUAL RESEARCH Section 019,Philosophy UN3997,
,,,,,,,4286,SUPERVISED INDIVIDUAL RESEARCH Section 020,Philosophy UN3997,
,,,,,,,73589,SUPERVISED INDIVIDUAL RESEARCH Section 021,Philosophy UN3997,
,,,,,,,27951,SUPERVISED INDIVIDUAL RESEARCH Section 022,Philosophy UN3997,
,,,,,,,16156,SUPERVISED INDIVIDUAL RESEARCH Section 023,Philosophy UN3997,
,,,,,,,67285,SUPERVISED INDIVIDUAL RESEARCH Section 024,Philosophy UN3997,
,,,,,,,65815,SUPERVISED INDIVIDUAL RESEARCH Section 025,Philosophy UN3997,
,,,,,,,16314,SUPERVISED INDIVIDUAL RESEARCH Section 001,Philosophy UN3998,
,,,,,,,13137,SUPERVISED INDIVIDUAL RESEARCH Section 002,Philosophy UN3998,
,,,,,,,95600,SUPERVISED INDIVIDUAL RESEARCH Section 003,Philosophy UN3998,
,,,,,,,67113,SUPERVISED INDIVIDUAL RESEARCH Section 004,Philosophy UN3998,
,,,,,,,72851,SUPERVISED INDIVIDUAL RESEARCH Section 005,Philosophy UN3998,
,,,,,,,18784,SUPERVISED INDIVIDUAL RESEARCH Section 006,Philosophy UN3998,
,,,,,,,69394,SUPERVISED INDIVIDUAL RESEARCH Section 007,Philosophy UN3998,
,,,,,,,60063,SUPERVISED INDIVIDUAL RESEARCH Section 008,Philosophy UN3998,
,,,,,,,61429,SUPERVISED INDIVIDUAL RESEARCH Section 009,Philosophy UN3998,
,,,,,,,76998,SUPERVISED INDIVIDUAL RESEARCH Section 010,Philosophy UN3998,
,,,,,,,61497,SUPERVISED INDIVIDUAL RESEARCH Section 011,Philosophy UN3998,
,,,,,,,14408,SUPERVISED INDIVIDUAL RESEARCH Section 012,Philosophy UN3998,
,,,,,,,60466,SUPERVISED INDIVIDUAL RESEARCH Section 013,Philosophy UN3998,
,,,,,,,5620,SUPERVISED INDIVIDUAL RESEARCH Section 014,Philosophy UN3998,
,,,,,,,75100,SUPERVISED INDIVIDUAL RESEARCH Section 015,Philosophy UN3998,
,,,,,,,77169,SUPERVISED INDIVIDUAL RESEARCH Section 016,Philosophy UN3998,
,,,,,,,70142,SUPERVISED INDIVIDUAL RESEARCH Section 017,Philosophy UN3998,
,,,,,,,4538,SUPERVISED INDIVIDUAL RESEARCH Section 018,Philosophy UN3998,
,,,,,,,1144,SUPERVISED INDIVIDUAL RESEARCH Section 019,Philosophy UN3998,
,,,,,,,4557,SUPERVISED INDIVIDUAL RESEARCH Section 020,Philosophy UN3998,
,,,,,,,22003,SUPERVISED INDIVIDUAL RESEARCH Section 021,Philosophy UN3998,
,,,,,,,12110,SUPERVISED INDIVIDUAL RESEARCH Section 022,Philosophy UN3998,
,,,,,,,63478,SUPERVISED INDIVIDUAL RESEARCH Section 023,Philosophy UN3998,
,,,,,,,66822,SUPERVISED INDIVIDUAL RESEARCH Section 024,Philosophy UN3998,
,,,,,,,61591,SUPERVISED INDIVIDUAL RESEARCH Section 025,Philosophy UN3998,
,,,,,6:10pm-8:00pm,Milbank Hall (Barnard),8484,SENIOR ESSAY Section 001,Philosophy BC4052,326
,12:10pm-2:00pm,,,,,Hamilton Hall,71162,PARADOXES Section 001,Philosophy GU4100,703
,,,,2:10pm-4:00pm,,Fayerweather,76180,SPECIAL TOPICS IN LOGIC Section 001,Philosophy GU4455,311
,,,,,4:10pm-6:00pm,Fayerweather,77202,ISLAMIC PHILOSOPHY Section 001,Philosophy GU4740,311
,,,,,2:10pm-4:00pm,Hamilton Hall,28790,MATH LOGIC II Section 001,Philosophy GU4802,511
,,,,,2:10pm-4:00pm,Philosophy Hall,72238,TOPICS IN EARLY MODERN PHILOSOPHY Section 001,Philosophy GU4900,716
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Schermerhorn Hall [SCH],29585,SYMBOLIC LOGIC Section 001,Philosophy GR5415,614
,,,,2:10pm-4:00pm,,Philosophy Hall,72094,POLITICAL PHILOSOPHY Section 001,Philosophy GR6752,716
,4:10pm-6:00pm,,,,,Hamilton Hall,8493,1ST YEAR PROSEMINAR IN PHIL Section 001,Philosophy GR6880,406
,,,,,,,72799,QUODLIBETAL STUDIES II Section 001,Philosophy GR9002,
,,,,,,,24271,QUODLIBETAL STUDIES II Section 002,Philosophy GR9002,
,,,,,,,4518,QUODLIBETAL STUDIES II Section 003,Philosophy GR9002,
,,,,,,,12858,QUODLIBETAL STUDIES II Section 004,Philosophy GR9002,
,,,,,,,61862,QUODLIBETAL STUDIES II Section 005,Philosophy GR9002,
,,,,,,,21919,QUODLIBETAL STUDIES II Section 006,Philosophy GR9002,
,,,,,,,62127,QUODLIBETAL STUDIES II Section 007,Philosophy GR9002,
,,,,,,,74612,QUODLIBETAL STUDIES II Section 008,Philosophy GR9002,
,,,,,,,66838,QUODLIBETAL STUDIES II Section 009,Philosophy GR9002,
,,,,,,,12113,QUODLIBETAL STUDIES II Section 010,Philosophy GR9002,
,,,,,,,66273,QUODLIBETAL STUDIES II Section 011,Philosophy GR9002,
,,,,,,,11611,QUODLIBETAL STUDIES II Section 012,Philosophy GR9002,
,,,,,,,10976,QUODLIBETAL STUDIES II Section 013,Philosophy GR9002,
,,,,,,,6301,QUODLIBETAL STUDIES II Section 014,Philosophy GR9002,
,,,,,,,14449,QUODLIBETAL STUDIES II Section 015,Philosophy GR9002,
,,,,,,,60049,QUODLIBETAL STUDIES II Section 016,Philosophy GR9002,
,,,,,,,60481,QUODLIBETAL STUDIES II Section 017,Philosophy GR9002,
,,,,,,,2451,QUODLIBETAL STUDIES II Section 018,Philosophy GR9002,
,,,,,,,3692,QUODLIBETAL STUDIES II Section 019,Philosophy GR9002,
,,,,,,,3015,QUODLIBETAL STUDIES II Section 020,Philosophy GR9002,
,,,,,,,16745,QUODLIBETAL STUDIES II Section 021,Philosophy GR9002,
,,,,,,,12354,QUODLIBETAL STUDIES II Section 022,Philosophy GR9002,
,,,,,,,75010,QUODLIBETAL STUDIES II Section 023,Philosophy GR9002,
,,,,,,,29428,QUODLIBETAL STUDIES II Section 024,Philosophy GR9002,
,,,,,,,14374,QUODLIBETAL STUDIES II Section 025,Philosophy GR9002,
,,,,,,,18231,QUODLIBETAL STUDIES IV Section 001,Philosophy GR9004,
,,,,,,,66646,QUODLIBETAL STUDIES IV Section 002,Philosophy GR9004,
,,,,,,,3135,QUODLIBETAL STUDIES IV Section 003,Philosophy GR9004,
,,,,,,,25842,QUODLIBETAL STUDIES IV Section 004,Philosophy GR9004,
,,,,,,,28533,QUODLIBETAL STUDIES IV Section 005,Philosophy GR9004,
,,,,,,,22216,QUODLIBETAL STUDIES IV Section 006,Philosophy GR9004,
,,,,,,,69303,QUODLIBETAL STUDIES IV Section 007,Philosophy GR9004,
,,,,,,,28993,QUODLIBETAL STUDIES IV Section 008,Philosophy GR9004,
,,,,,,,70933,QUODLIBETAL STUDIES IV Section 009,Philosophy GR9004,
,,,,,,,12697,QUODLIBETAL STUDIES IV Section 010,Philosophy GR9004,
,,,,,,,17816,QUODLIBETAL STUDIES IV Section 011,Philosophy GR9004,
,,,,,,,17494,QUODLIBETAL STUDIES IV Section 012,Philosophy GR9004,
,,,,,,,64422,QUODLIBETAL STUDIES IV Section 013,Philosophy GR9004,
,,,,,,,2761,QUODLIBETAL STUDIES IV Section 014,Philosophy GR9004,
,,,,,,,20695,QUODLIBETAL STUDIES IV Section 015,Philosophy GR9004,
,,,,,,,63155,QUODLIBETAL STUDIES IV Section 016,Philosophy GR9004,
,,,,,,,24412,QUODLIBETAL STUDIES IV Section 017,Philosophy GR9004,
,,,,,,,9371,QUODLIBETAL STUDIES IV Section 018,Philosophy GR9004,
,,,,,,,4985,QUODLIBETAL STUDIES IV Section 019,Philosophy GR9004,
,,,,,,,5811,QUODLIBETAL STUDIES IV Section 020,Philosophy GR9004,
,,,,,,,16295,QUODLIBETAL STUDIES IV Section 021,Philosophy GR9004,
,,,,,,,16621,QUODLIBETAL STUDIES IV Section 022,Philosophy GR9004,
,,,,,,,17177,QUODLIBETAL STUDIES IV Section 023,Philosophy GR9004,
,,,,,,,66375,QUODLIBETAL STUDIES IV Section 024,Philosophy GR9004,
,,,,,,,23516,QUODLIBETAL STUDIES IV Section 025,Philosophy GR9004,
,,,2:10pm-4:00pm,,,Philosophy Hall,81897,EPICTETUS Section 001,Philosophy GR9101,716
,2:10pm-4:00pm,,,,,Philosophy Hall,9560,PHENOMENOLOGY Section 001,Philosophy GR9266,716
,,,,12:10pm-2:00pm,,Philosophy Hall,13662,TOPICS IN METAPHYSICS Section 001,Philosophy GR9515,716
,,,,,6:10pm-8:00pm,Philosophy Hall,17448,PROPOSAL PREPARATION SEMINAR Section 001,Philosophy GR9885,716
,6:10pm-8:00pm,,,,,Philosophy Hall,19578,THESIS PREPARATION SEMINAR Section 001,Philosophy GR9990,716
,9:00am-9:50am,,,,9:00am-9:50am,be announced,25797,PHYSICAL EDUCATION ACTIVITIES Section 001,Physical Education UN1002,To
,9:00am-9:50am,,,,9:00am-9:50am,be announced,25799,PHYSICAL EDUCATION ACTIVITIES Section 002,Physical Education UN1002,To
,9:00am-9:50am,,,,9:00am-9:50am,be announced,25848,PHYSICAL EDUCATION ACTIVITIES Section 003,Physical Education UN1002,To
,10:00am-10:50am,,,,10:00am-10:50am,be announced,25849,PHYSICAL EDUCATION ACTIVITIES Section 005,Physical Education UN1002,To
,10:00am-10:50am,,,,10:00am-10:50am,be announced,25850,PHYSICAL EDUCATION ACTIVITIES Section 006,Physical Education UN1002,To
,10:00am-10:50am,,,,10:00am-10:50am,be announced,25896,PHYSICAL EDUCATION ACTIVITIES Section 007,Physical Education UN1002,To
,10:00am-10:50am,,,,10:00am-10:50am,be announced,25897,PHYSICAL EDUCATION ACTIVITIES Section 008,Physical Education UN1002,To
,11:00am-11:50am,,,,11:00am-11:50am,be announced,25899,PHYSICAL EDUCATION ACTIVITIES Section 010,Physical Education UN1002,To
,11:00am-11:50am,,,,11:00am-11:50am,be announced,25900,PHYSICAL EDUCATION ACTIVITIES Section 011,Physical Education UN1002,To
,11:00am-11:50am,,,,11:00am-11:50am,be announced,25953,PHYSICAL EDUCATION ACTIVITIES Section 012,Physical Education UN1002,To
,11:00am-11:50am,,,,11:00am-11:50am,be announced,25954,PHYSICAL EDUCATION ACTIVITIES Section 013,Physical Education UN1002,To
,12:00pm-12:50pm,,,,12:00pm-12:50pm,be announced,25996,PHYSICAL EDUCATION ACTIVITIES Section 016,Physical Education UN1002,To
,12:00pm-12:50pm,,,,12:00pm-12:50pm,be announced,25997,PHYSICAL EDUCATION ACTIVITIES Section 017,Physical Education UN1002,To
,12:00pm-12:50pm,,,,12:00pm-12:50pm,be announced,25998,PHYSICAL EDUCATION ACTIVITIES Section 018,Physical Education UN1002,To
,1:10pm-2:00pm,,,,1:10pm-2:00pm,be announced,25999,PHYSICAL EDUCATION ACTIVITIES Section 020,Physical Education UN1002,To
,1:10pm-2:00pm,,,,1:10pm-2:00pm,be announced,26050,PHYSICAL EDUCATION ACTIVITIES Section 021,Physical Education UN1002,To
,2:10pm-3:00pm,,,,2:10pm-3:00pm,be announced,26051,PHYSICAL EDUCATION ACTIVITIES Section 023,Physical Education UN1002,To
,2:10pm-3:00pm,,,,2:10pm-3:00pm,be announced,26052,PHYSICAL EDUCATION ACTIVITIES Section 024,Physical Education UN1002,To
,2:10pm-3:00pm,,,,2:10pm-3:00pm,be announced,26096,PHYSICAL EDUCATION ACTIVITIES Section 025,Physical Education UN1002,To
,2:10pm-3:00pm,,,,2:10pm-3:00pm,be announced,26097,PHYSICAL EDUCATION ACTIVITIES Section 026,Physical Education UN1002,To
,2:10pm-3:00pm,,,,2:10pm-3:00pm,be announced,26098,PHYSICAL EDUCATION ACTIVITIES Section 027,Physical Education UN1002,To
,3:10pm-4:00pm,,,,3:10pm-4:00pm,be announced,26147,PHYSICAL EDUCATION ACTIVITIES Section 029,Physical Education UN1002,To
,3:10pm-4:00pm,,,,3:10pm-4:00pm,be announced,26148,PHYSICAL EDUCATION ACTIVITIES Section 030,Physical Education UN1002,To
,,,8:00am-8:50am,8:00am-8:50am,,be announced,26149,PHYSICAL EDUCATION ACTIVITIES Section 032,Physical Education UN1002,To
,,,8:00am-8:50am,8:00am-8:50am,,be announced,26150,PHYSICAL EDUCATION ACTIVITIES Section 033,Physical Education UN1002,To
,,,9:00am-9:50am,9:00am-9:50am,,be announced,26199,PHYSICAL EDUCATION ACTIVITIES Section 036,Physical Education UN1002,To
,,,9:00am-9:50am,9:00am-9:50am,,be announced,26200,PHYSICAL EDUCATION ACTIVITIES Section 037,Physical Education UN1002,To
,,,9:00am-9:50am,9:00am-9:50am,,be announced,26246,PHYSICAL EDUCATION ACTIVITIES Section 038,Physical Education UN1002,To
,,,9:00am-9:50am,9:00am-9:50am,,be announced,26247,PHYSICAL EDUCATION ACTIVITIES Section 039,Physical Education UN1002,To
,,,10:00am-10:50am,10:00am-10:50am,,be announced,26248,PHYSICAL EDUCATION ACTIVITIES Section 041,Physical Education UN1002,To
,,,10:00am-10:50am,10:00am-10:50am,,be announced,26298,PHYSICAL EDUCATION ACTIVITIES Section 042,Physical Education UN1002,To
,,,10:00am-10:50am,10:00am-10:50am,,be announced,26300,PHYSICAL EDUCATION ACTIVITIES Section 043,Physical Education UN1002,To
,,,10:00am-10:50am,10:00am-10:50am,,be announced,26301,PHYSICAL EDUCATION ACTIVITIES Section 044,Physical Education UN1002,To
,,,10:00am-10:50am,10:00am-10:50am,,be announced,26302,PHYSICAL EDUCATION ACTIVITIES Section 045,Physical Education UN1002,To
,,,11:00am-11:50am,11:00am-11:50am,,be announced,26347,PHYSICAL EDUCATION ACTIVITIES Section 047,Physical Education UN1002,To
,,,11:00am-11:50am,11:00am-11:50am,,be announced,26348,PHYSICAL EDUCATION ACTIVITIES Section 048,Physical Education UN1002,To
,,,11:00am-11:50am,11:00am-11:50am,,be announced,26349,PHYSICAL EDUCATION ACTIVITIES Section 049,Physical Education UN1002,To
,,,12:00pm-12:50pm,12:00pm-12:50pm,,be announced,26397,PHYSICAL EDUCATION ACTIVITIES Section 051,Physical Education UN1002,To
,,,12:00pm-12:50pm,12:00pm-12:50pm,,be announced,26398,PHYSICAL EDUCATION ACTIVITIES Section 052,Physical Education UN1002,To
,,,1:10pm-2:00pm,1:10pm-2:00pm,,be announced,26399,PHYSICAL EDUCATION ACTIVITIES Section 054,Physical Education UN1002,To
,,,1:10pm-2:00pm,1:10pm-2:00pm,,be announced,26400,PHYSICAL EDUCATION ACTIVITIES Section 055,Physical Education UN1002,To
,,,2:10pm-3:00pm,2:10pm-3:00pm,,be announced,26446,PHYSICAL EDUCATION ACTIVITIES Section 057,Physical Education UN1002,To
,,,2:10pm-3:00pm,2:10pm-3:00pm,,be announced,26447,PHYSICAL EDUCATION ACTIVITIES Section 058,Physical Education UN1002,To
,,,3:10pm-4:00pm,3:10pm-4:00pm,,be announced,26448,PHYSICAL EDUCATION ACTIVITIES Section 060,Physical Education UN1002,To
,,,3:10pm-4:00pm,3:10pm-4:00pm,,be announced,26497,PHYSICAL EDUCATION ACTIVITIES Section 061,Physical Education UN1002,To
,,,,,6:30pm-10:30pm,be announced,26498,PHYSICAL EDUCATION ACTIVITIES Section 063,Physical Education UN1002,To
,,,7:30pm-11:30pm,,,be announced,26499,PHYSICAL EDUCATION ACTIVITIES Section 064,Physical Education UN1002,To
,,,9:00pm-11:30pm,,,be announced,26500,PHYSICAL EDUCATION ACTIVITIES Section 065,Physical Education UN1002,To
,,,,,,be announced,26602,PHYSICAL EDUCATION ACTIVITIES Section 067,Physical Education UN1002,To
10:00am-12:00pm,,,,,,be announced,26549,PHYSICAL EDUCATION ACTIVITIES Section 068,Physical Education UN1002,To
10:00am-12:00pm,,,,,,be announced,26550,PHYSICAL EDUCATION ACTIVITIES Section 069,Physical Education UN1002,To
10:00am-2:00pm,,,,,,be announced,26600,PHYSICAL EDUCATION ACTIVITIES Section 070,Physical Education UN1002,To
10:00am-2:00pm,,,,,,be announced,26601,PHYSICAL EDUCATION ACTIVITIES Section 071,Physical Education UN1002,To
10:30am-12:00pm,,,,,,be announced,26501,PHYSICAL EDUCATION ACTIVITIES Section 072,Physical Education UN1002,To
11:00am-1:00pm,,,,,,be announced,26599,PHYSICAL EDUCATION ACTIVITIES Section 073,Physical Education UN1002,To
,,8:00am-4:00pm,,,,be announced,26646,PHYSICAL EDUCATION ACTIVITIES Section 074,Physical Education UN1002,To
,,8:00am-4:00pm,,,,be announced,26647,PHYSICAL EDUCATION ACTIVITIES Section 075,Physical Education UN1002,To
,,,,,,,26696,INTERCOLLEGIATE ATHLETICS Section 001,Physical Education UN1005,
,,,,,,,26697,INTERCOLLEGIATE ATHLETICS Section 002,Physical Education UN1005,
,,,,,,,26699,INTERCOLLEGIATE ATHLETICS Section 003,Physical Education UN1005,
,,,,,,,26746,INTERCOLLEGIATE ATHLETICS Section 004,Physical Education UN1005,
,,,,,,,26747,INTERCOLLEGIATE ATHLETICS Section 005,Physical Education UN1005,
,,,,,,,26748,INTERCOLLEGIATE ATHLETICS Section 006,Physical Education UN1005,
